Date,SPY,AGG,Lega,Ten,Bund
2015-07-28,178.11123657226562,85.45572662353516,442.4552,121.875,132.59
2015-07-29,179.3365020751953,85.38525390625,442.1868,121.6875,132.36
2015-07-30,179.37904357910156,85.39305877685547,440.8875,121.71875,133.12
2015-07-31,179.1067657470703,85.72972106933594,443.4764,122.3125,133.15
2015-08-03,178.5026397705078,85.81837463378906,443.0376,122.703125,133.32
2015-08-04,178.15383911132812,85.56733703613281,442.4568,122.140625,133.31
2015-08-05,178.74087524414062,85.41043853759766,439.3377,121.625,132.09
2015-08-06,177.2774200439453,85.51243591308594,440.2211,121.890625,132.46
2015-08-07,176.93702697753906,85.66144561767578,441.7091,122.328125,133.18
2015-08-10,179.1663360595703,85.55167388916016,441.4586,121.890625,132.69
2015-08-11,177.54965209960938,85.83403778076172,443.3757,122.734375,133.69
2015-08-12,177.76242065429688,85.77914428710938,445.9009,122.84375,134.04
2015-08-13,177.54119873046875,85.59870147705078,443.8559,122.359375,133.67
2015-08-14,178.18783569335938,85.55948638916016,443.545,122.234375,133.41
2015-08-17,179.18336486816406,85.70852661132812,443.6572,122.640625,133.73
2015-08-18,178.66433715820312,85.55167388916016,442.6917,122.328125,133.57
2015-08-19,177.25193786621094,85.81837463378906,443.5281,122.96875,133.67
2015-08-20,173.55064392089844,85.95171356201172,446.1812,123.203125,134.33
2015-08-21,168.32630920410156,86.10075378417969,448.2398,123.546875,134.36
2015-08-24,161.2386474609375,86.06938171386719,453.1948,124.078125,134.43
2015-08-25,159.34121704101562,85.86546325683594,448.1979,122.9375,132.33
2015-08-26,165.4589385986328,85.46532440185547,447.8501,122.8125,132.96
2015-08-27,169.55157470703125,85.58303833007812,444.8871,122.828125,132.49
2015-08-28,169.56011962890625,85.50457763671875,444.7786,122.65625,132.59
2015-08-31,168.190185546875,85.44180297851562,443.9924,122.515625,131.84
2015-09-01,163.17010498046875,85.6949691772461,445.3833,122.765625,131.68
2015-09-02,166.26722717285156,85.58488464355469,444.428,122.609375,131.86
2015-09-03,166.38633728027344,85.71065521240234,443.7037,122.84375,132.64
2015-09-04,163.8677978515625,85.89144134521484,445.2765,123.203125,133.53
2015-09-07,,,445.5924,,133.47
2015-09-08,167.9859619140625,85.68705749511719,445.4051,122.734375,133.4
2015-09-09,165.73968505859375,85.71853637695312,444.7601,122.890625,133.13
2015-09-10,166.64166259765625,85.62423706054688,445.1648,122.609375,133.37
2015-09-11,167.39889526367188,85.72636413574219,446.4522,122.984375,133.89
2015-09-14,166.7777557373047,85.74995422363281,446.8631,123.0,133.92
2015-09-15,168.8623504638672,85.36479187011719,444.8695,122.15625,132.75
2015-09-16,170.3258056640625,85.2940444946289,445.0309,121.96875,132.4
2015-09-17,169.94296264648438,85.82854461669922,446.0245,122.75,132.34
2015-09-18,167.1658477783203,85.8993148803711,449.5957,123.421875,133.74
2015-09-21,168.02975463867188,85.67134857177734,445.7496,122.828125,133.49
2015-09-22,165.84873962402344,85.8757553100586,446.3604,123.5625,134.7
2015-09-23,165.5835723876953,85.80496215820312,445.5638,123.421875,134.56
2015-09-24,164.98484802246094,85.9150619506836,448.0724,123.578125,134.83
2015-09-25,164.94212341308594,85.76566314697266,444.796,123.296875,134.07
2015-09-28,160.8024444580078,85.97003936767578,446.3627,123.890625,134.68
2015-09-29,160.89654541015625,86.10369873046875,446.6875,124.265625,134.81
2015-09-30,163.89869689941406,86.1351547241211,446.2552,124.1875,134.83
2015-10-01,164.3262939453125,86.20207214355469,447.5359,124.203125,135.41
2015-10-02,166.78097534179688,86.46195983886719,449.6078,124.796875,135.88
2015-10-05,169.74879455566406,86.1390380859375,447.6491,124.28125,135.15
2015-10-06,169.16720581054688,86.35167694091797,448.5671,124.484375,134.82
2015-10-07,170.55279541015625,86.28866577148438,448.697,124.265625,134.81
2015-10-08,172.09231567382812,86.17053985595703,448.7924,123.921875,134.96
2015-10-09,172.19491577148438,86.09965515136719,449.6643,123.9375,134.56
2015-10-12,172.35743713378906,86.3202133178711,450.5581,124.21875,135.06
2015-10-13,171.27122497558594,86.32807159423828,450.5264,124.3125,134.82
2015-10-14,170.4501495361328,86.65096282958984,453.1285,125.0,135.52
2015-10-15,173.0673370361328,86.53282165527344,452.8863,124.578125,135.39
2015-10-16,173.85418701171875,86.44617462158203,452.3971,124.484375,135.55
2015-10-19,173.93971252441406,86.53282165527344,451.3406,124.421875,135.28
2015-10-20,173.71737670898438,86.35953521728516,450.5707,124.015625,134.55
2015-10-21,172.63967895507812,86.56430053710938,451.3023,124.328125,135.23
2015-10-22,175.55624389648438,86.5800552368164,449.748,124.390625,136.11
2015-10-23,177.48062133789062,86.43043518066406,447.393,123.875,136.1
2015-10-26,177.0443572998047,86.4698257446289,448.1727,124.046875,136.23
2015-10-27,176.7023162841797,86.59578704833984,449.1101,124.375,136.99
2015-10-28,178.71221923828125,86.3359375,448.6353,123.65625,136.98
2015-10-29,178.60960388183594,85.96577453613281,445.3036,123.0625,135.74
2015-10-30,177.83984375,86.19416809082031,447.1977,123.140625,135.85
2015-11-02,179.94383239746094,86.02454376220703,446.4293,122.828125,135.32
2015-11-03,180.46551513671875,85.86670684814453,444.8367,122.5625,135.24
2015-11-04,179.91818237304688,85.86670684814453,443.233,122.375,134.98
2015-11-05,179.73855590820312,85.82726287841797,442.7575,122.28125,134.92
2015-11-06,179.6444854736328,85.41696166992188,438.4448,121.5,133.82
2015-11-09,177.96812438964844,85.36172485351562,438.0615,121.484375,134.06
2015-11-10,178.37864685058594,85.51949310302734,438.328,121.75,134.71
2015-11-11,177.67730712890625,85.40907287597656,439.1989,121.515625,134.97
2015-11-12,175.19696044921875,85.48796844482422,439.4896,121.65625,134.97
2015-11-13,173.22987365722656,85.6536865234375,439.881,121.984375,135.56
2015-11-16,175.86412048339844,85.72468566894531,439.8074,122.125,135.95
2015-11-17,175.7357940673828,85.78781127929688,439.1658,122.1875,135.97
2015-11-18,178.52410888671875,85.72468566894531,439.2563,122.109375,136.33
2015-11-19,178.37010192871094,85.76414489746094,441.64,122.234375,136.66
2015-11-20,179.02012634277344,85.70890808105469,440.8385,122.125,136.66
2015-11-23,178.8148651123047,85.73258972167969,439.7447,122.265625,135.98
2015-11-24,179.05433654785156,85.81148529052734,440.481,122.359375,136.43
2015-11-25,179.0286865234375,85.85095977783203,440.2298,122.4375,136.91
